STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AFG,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,0.033508492238213,A,Triennial,Afghanistan,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ALB,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,17.2828151401637,A,Triennial,Albania,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,DZA,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,8.19308640118171,A,Triennial,Algeria,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ARG,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,32.2448733410899,A,Triennial,Argentina,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ARM,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,15.6186468475421,A,Triennial,Armenia,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AUS,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,77.4130109155284,A,Triennial,Australia,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AUT,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,63.890051032820004,A,Triennial,Austria,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AZE,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2022,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,9.45409002633269,A,Triennial,Azerbaijan,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BGD,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,3.04513266167621,A,Triennial,Bangladesh,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BEL,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,68.3196608728186,A,Triennial,Belgium,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BEN,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,4.1057092520984195,A,Triennial,Benin,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BOL,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,11.7025736501305,A,Triennial,Bolivia,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BIH,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,30.5558456287747,A,Triennial,Bosnia and Herzegovina,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BWA,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2022,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,8.819941772217401,A,Triennial,Botswana,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BRA,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,34.7343395223713,A,Triennial,Brazil,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BGR,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,38.8861375938987,A,Triennial,Bulgaria,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BFA,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,4.78786613795707,A,Triennial,Burkina Faso,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,KHM,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,4.37510691607188,A,Triennial,Cambodia,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CMR,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,5.20922685198804,A,Triennial,Cameroon,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CAN,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,70.0685493419883,A,Triennial,Canada,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,TCD,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2022,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,4.219527427405731,A,Triennial,Chad,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CHL,WB_FINDEX_FIN26B,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2021,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,48.861852019696,A,Triennial,Chile,Used a mobile phone or the internet to buy something online,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
