STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AFG,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,9.005012073,A,Triennial,Afghanistan,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ALB,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,28.268124410976398,A,Triennial,Albania,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,DZA,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,33.286112528337306,A,Triennial,Algeria,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AGO,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,39.20354234,A,Triennial,Angola,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ARG,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,33.130216985551804,A,Triennial,Argentina,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ARM,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,17.48687274,A,Triennial,Armenia,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AUS,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,99.06484671,A,Triennial,Australia,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AUT,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,97.08173879,A,Triennial,Austria,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,AZE,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,14.900850357840401,A,Triennial,Azerbaijan,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BHR,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,64.51457124,A,Triennial,Bahrain,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BGD,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,31.74364909,A,Triennial,Bangladesh,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BLR,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,58.60197947136881,A,Triennial,Belarus,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BEL,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,96.3061274,A,Triennial,Belgium,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BEN,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,10.46393703,A,Triennial,Benin,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BOL,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,28.029132771544703,A,Triennial,Bolivia,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BIH,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,56.211608335604005,A,Triennial,Bosnia and Herzegovina,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BWA,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2011,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,30.26001429,A,Triennial,Botswana,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
