STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,TGO,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,25.7903166241558,A,Triennial,Togo,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,TGO,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,10.9584870894634,A,Triennial,Togo,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,TUN,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,31.2094514835912,A,Triennial,Tunisia,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,TUN,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,7.17960143063906,A,Triennial,Tunisia,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,TUR,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,33.4502695921939,A,Triennial,Türkiye,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,TUR,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,18.417042899972,A,Triennial,Türkiye,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,UGA,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,16.1758627329562,A,Triennial,Uganda,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,UGA,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,9.31738901092824,A,Triennial,Uganda,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,UKR,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,28.1910962557117,A,Triennial,Ukraine,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,UKR,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,9.4945030305369,A,Triennial,Ukraine,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,VEN,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,25.615832902923103,A,Triennial,"Venezuela, RB",Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,VEN,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,11.546101164259701,A,Triennial,"Venezuela, RB",Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,VNM,WB_FINDEX_FIN17A,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,53.7619726245526,A,Triennial,Vietnam,Saved at a bank or similar financial institution,Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
