STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_CONF,OBS_VALUE,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2019,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,90.73651805,Annual,Netherlands,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2020,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,110.2578035,Annual,Netherlands,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2021,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,143.2035806,Annual,Netherlands,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2022,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,160.2487933,Annual,Netherlands,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2023,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,204.232018,Annual,Netherlands,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2024,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,258.8088847,Annual,Netherlands,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NOR,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2019,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,99.22052211,Annual,Norway,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2019,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,11.397912134653847,Annual,Africa Eastern and Southern,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2020,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,11.833411002,Annual,Africa Eastern and Southern,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,OOKLA_ST_FIX_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2021,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,15.798656046692306,Annual,Africa Eastern and Southern,Average Download Speed - Fixed Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
