STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_CONF,OBS_VALUE,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NIC,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2019,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,21.03807029,Annual,Nicaragua,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NIC,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2020,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,18.73624068,Annual,Nicaragua,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NIC,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2021,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,21.68780828,Annual,Nicaragua,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NIC,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2022,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,25.52111383,Annual,Nicaragua,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NIC,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2023,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,25.24385328,Annual,Nicaragua,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NIC,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2024,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,27.58764593,Annual,Nicaragua,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2019,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,58.9800541,Annual,Netherlands,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2020,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,78.80232208,Annual,Netherlands,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2021,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,100.7447199,Annual,Netherlands,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,OOKLA_ST_MOB_PER,_T,_T,_T,KBPS,_Z,_Z,_Z,2022,MEAN,RATIO,OOKLA_ST,602,0,A,OOKLA_ST,PU,112.5343453,Annual,Netherlands,Average Download Speed - Mobile Technologies,Total,All age ranges or no breakdown by age,Total,Kilobit per second,Not Applicable,Not Applicable,Not Applicable,Mean,Ratio,Speed Test,CCYY,Units,Normal value,Speed Test,Public
