Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Egypt, Arab Rep.",EGY,3.84188,4.39685,5.04732,6.26825,7.04131,8.53963,9.76582,10.6832,10.8645,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,India,IND,1.27579,1.38795,1.31327,1.32178,1.37913,1.63623,1.9488,2.35232,2.74535,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Saudi Arabia,SAU,21.1362,20.8268,21.6139,22.4661,22.3214,25.4597,33.7974,41.823,43.5732,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,United Arab Emirates,ARE,14.2305,14.3683,29.9083,32.3591,32.4803,34.3453,36.5005,36.8486,37.0968,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,United Kingdom,GBR,37.7215,38.6589,39.2489,39.8294,40.0228,40.5775,41.1135,41.2867,41.4368,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,37.8194,41.2481,44.9502,46.9243,57.2829,71.9142,72.056,72.1981,72.6899,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,India,IND,14.9,16.5,18.2,20.0813,29.5235,43.4054,..,55.9,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Saudi Arabia,SAU,69.6162,74.8793,94.1756,93.31,95.7247,97.8623,100,100,100,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Arab Emirates,ARE,90.5,90.6,94.8199,98.45,99.15,100,100,100,100,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Kingdom,GBR,92.0003,94.7758,90.4246,90.692,92.5166,94.8182,96.1965,96.2989,96.2988,..
