Country_Code,Country,Year,EGDI_Value,EGDI_Rank,OSI_Value,TII_Value,HCI_Value,EPI_Value,EPI_Rank
ARE,United Arab Emirates,2003,0.5345,38.0,0.41921,0.44431,0.74,0.1724,53.0
ARE,United Arab Emirates,2004,0.47356,60.0,0.30501,0.38567,0.73,0.04918,84.0
ARE,United Arab Emirates,2005,0.57182,42.0,0.61153,0.36394,0.74,0.12698,63.0
ARE,United Arab Emirates,2008,0.6301,32.0,0.71571,0.38134,0.79078,0.29545,41.0
ARE,United Arab Emirates,2010,0.53494,49.0,0.25079,0.54343,0.8192,0.12857,86.0
ARE,United Arab Emirates,2012,0.73442,28.0,0.86274,0.55684,0.78368,0.7368,11.0
ARE,United Arab Emirates,2014,0.71358,32.0,0.88188,0.59319,0.6657,0.84313,13.0
ARE,United Arab Emirates,2016,0.75153,29.0,0.8913,0.68813,0.67516,0.74576,32.0
ARE,United Arab Emirates,2018,0.8295,21.0,0.9444,0.8564,0.6877,0.9438,17.0
ARE,United Arab Emirates,2020,0.8555,21.0,0.9,0.9344,0.732,0.9405,16.0
ARE,United Arab Emirates,2022,0.901,13.0,0.9014,0.9306,0.8711,0.7841,18.0
ARE,United Arab Emirates,2024,0.95328,11.0,0.91627,1.0,0.94355,0.7808,37.0
