Country_Code,Country,Year,EGDI_Value,EGDI_Rank,OSI_Value,TII_Value,HCI_Value,EPI_Value,EPI_Rank
EGY,Egypt,2003,0.23841,140.0,0.03493,0.06029,0.62,0.0172,123.0
EGY,Egypt,2004,0.2653,136.0,0.10038,0.06553,0.63,0.01639,123.0
EGY,Egypt,2005,0.37929,99.0,0.44615,0.07173,0.62,0.07936,73.0
EGY,Egypt,2008,0.4767,79.0,0.60535,0.08861,0.7323,0.25,49.0
EGY,Egypt,2010,0.4518,86.0,0.53015,0.12555,0.69733,0.28571,42.0
EGY,Egypt,2012,0.46112,107.0,0.6013,0.2232,0.55884,0.6842,15.0
EGY,Egypt,2014,0.51293,80.0,0.59055,0.35705,0.5912,0.54901,54.0
EGY,Egypt,2016,0.45941,108.0,0.47101,0.30246,0.60476,0.40678,107.0
EGY,Egypt,2018,0.488,114.0,0.5347,0.3222,0.6072,0.5393,109.0
EGY,Egypt,2020,0.5527,111.0,0.5706,0.4683,0.6192,0.5119,106.0
EGY,Egypt,2022,0.5895,103.0,0.573,0.5579,0.6375,0.3523,107.0
EGY,Egypt,2024,0.66994,95.0,0.70016,0.69456,0.61503,0.589,74.0
