Country_Code,Country,Year,EGDI_Value,EGDI_Rank,OSI_Value,TII_Value,HCI_Value,EPI_Value,EPI_Rank,E_GOV_Index,Difference
EGY,Egypt,2003,0.23841,140.0,0.03493,0.06029,0.62,0.0172,123.0,0.23840666666666666,3.3333333333551707e-06
EGY,Egypt,2004,0.2653,136.0,0.10038,0.06553,0.63,0.01639,123.0,0.26530333333333334,-3.3333333333551707e-06
EGY,Egypt,2005,0.37929,99.0,0.44615,0.07173,0.62,0.07936,73.0,0.3792933333333333,-3.3333333332996595e-06
EGY,Egypt,2008,0.4767,79.0,0.60535,0.08861,0.7323,0.25,49.0,0.47542,0.0012800000000000034
EGY,Egypt,2010,0.4518,86.0,0.53015,0.12555,0.69733,0.28571,42.0,0.45100999999999997,0.0007900000000000129
EGY,Egypt,2012,0.46112,107.0,0.6013,0.2232,0.55884,0.6842,15.0,0.4611133333333333,6.66666666665483e-06
EGY,Egypt,2014,0.51293,80.0,0.59055,0.35705,0.5912,0.54901,54.0,0.5129333333333334,-3.3333333333551707e-06
EGY,Egypt,2016,0.45941,108.0,0.47101,0.30246,0.60476,0.40678,107.0,0.45940999999999993,5.551115123125783e-17
EGY,Egypt,2018,0.488,114.0,0.5347,0.3222,0.6072,0.5393,109.0,0.4880333333333333,-3.333333333332966e-05
EGY,Egypt,2020,0.5527,111.0,0.5706,0.4683,0.6192,0.5119,106.0,0.5527,0.0
EGY,Egypt,2022,0.5895,103.0,0.573,0.5579,0.6375,0.3523,107.0,0.5894666666666667,3.333333333332966e-05
EGY,Egypt,2024,0.66994,95.0,0.70016,0.69456,0.61503,0.589,74.0,0.6699166666666666,2.3333333333375172e-05
IND,India,2003,0.37309,87.0,0.52183,0.02744,0.57,0.2586,41.0,0.37309,0.0
IND,India,2004,0.38789,86.0,0.56756,0.02613,0.57,0.13114,59.0,0.3878966666666666,-6.666666666599319e-06
IND,India,2005,0.40013,87.0,0.58269,0.0277,0.59,0.15873,57.0,0.40013000000000004,-5.551115123125783e-17
IND,India,2008,0.3814,113.0,0.47826,0.0435,0.6195,0.25,49.0,0.38042,0.0009800000000000364
IND,India,2010,0.35673,119.0,0.36825,0.05832,0.64326,0.2,58.0,0.35661000000000004,0.00011999999999995348
IND,India,2012,0.38287,125.0,0.53594,0.11017,0.50249,0.1842,75.0,0.3828666666666667,3.3333333332996595e-06
IND,India,2014,0.38343,118.0,0.5433,0.13723,0.4698,0.62745,40.0,0.3834433333333333,-1.333333333330966e-05
IND,India,2016,0.46375,107.0,0.74638,0.14298,0.50189,0.76271,27.0,0.46374999999999994,5.551115123125783e-17
IND,India,2018,0.5669,96.0,0.9514,0.2009,0.5484,0.9551,15.0,0.5669000000000001,-1.1102230246251565e-16
IND,India,2020,0.5964,100.0,0.8529,0.3515,0.5848,0.8571,29.0,0.5963999999999999,1.1102230246251565e-16
IND,India,2022,0.5883,105.0,0.7934,0.3954,0.5761,0.5909,61.0,0.5882999999999999,1.1102230246251565e-16
IND,India,2024,0.66776,97.0,0.81842,0.57004,0.61487,0.6575,61.0,0.6677766666666667,-1.666666666666483e-05
SAU,Saudi Arabia,2003,0.33756,105.0,0.1834,0.11928,0.71,0.0345,102.0,0.33756,0.0
SAU,Saudi Arabia,2004,0.38582,90.0,0.30888,0.13859,0.71,0.04918,84.0,0.38582333333333335,-3.3333333333551707e-06
