Country_Code,Country,Year,EGDI_Value,EGDI_Rank,OSI_Value,TII_Value,HCI_Value,EPI_Value,EPI_Rank
SAU,Saudi Arabia,2003,0.33756,105.0,0.1834,0.11928,0.71,0.0345,102.0
SAU,Saudi Arabia,2004,0.38582,90.0,0.30888,0.13859,0.71,0.04918,84.0
SAU,Saudi Arabia,2005,0.41049,80.0,0.37692,0.14454,0.71,0.06349,83.0
SAU,Saudi Arabia,2008,0.4935,70.0,0.46488,0.211,0.8056,0.31818,38.0
SAU,Saudi Arabia,2010,0.51424,58.0,0.31111,0.40313,0.83463,0.1,102.0
SAU,Saudi Arabia,2012,0.66581,41.0,0.79738,0.43232,0.76774,0.6316,22.0
SAU,Saudi Arabia,2014,0.69001,36.0,0.77165,0.55227,0.7461,0.56862,51.0
SAU,Saudi Arabia,2016,0.68224,44.0,0.67391,0.57334,0.79946,0.71186,39.0
SAU,Saudi Arabia,2018,0.7119,52.0,0.7917,0.5339,0.8101,0.7135,67.0
SAU,Saudi Arabia,2020,0.7991,43.0,0.6882,0.8442,0.8648,0.7143,66.0
SAU,Saudi Arabia,2022,0.8539,31.0,0.822,0.8735,0.8662,0.6932,43.0
SAU,Saudi Arabia,2024,0.96022,6.0,0.98995,0.98411,0.90666,0.9589,7.0
