Country_Code,Country,Year,Indicator,OBS_Value
ARE,United Arab Emirates,2015,Active mobile-broadband subscriptions (ITU),12536797.0
EGY,"Egypt, Arab Rep.",2015,Active mobile-broadband subscriptions (ITU),42913302.0
GBR,United Kingdom,2015,Active mobile-broadband subscriptions (ITU),55870842.0
IND,India,2015,Active mobile-broadband subscriptions (ITU),120030000.0
SAU,Saudi Arabia,2015,Active mobile-broadband subscriptions (ITU),33387589.0
ARE,United Arab Emirates,2016,Active mobile-broadband subscriptions (ITU),15284951.0
EGY,"Egypt, Arab Rep.",2016,Active mobile-broadband subscriptions (ITU),45244164.0
GBR,United Kingdom,2016,Active mobile-broadband subscriptions (ITU),54782461.0
IND,India,2016,Active mobile-broadband subscriptions (ITU),217355871.0
SAU,Saudi Arabia,2016,Active mobile-broadband subscriptions (ITU),23884592.0
ARE,United Arab Emirates,2017,Active mobile-broadband subscriptions (ITU),22882825.0
EGY,"Egypt, Arab Rep.",2017,Active mobile-broadband subscriptions (ITU),48885371.0
GBR,United Kingdom,2017,Active mobile-broadband subscriptions (ITU),58226000.0
IND,India,2017,Active mobile-broadband subscriptions (ITU),345013593.0
SAU,Saudi Arabia,2017,Active mobile-broadband subscriptions (ITU),29653287.0
ARE,United Arab Emirates,2018,Active mobile-broadband subscriptions (ITU),24081304.0
EGY,"Egypt, Arab Rep.",2018,Active mobile-broadband subscriptions (ITU),53068763.0
GBR,United Kingdom,2018,Active mobile-broadband subscriptions (ITU),66160000.0
IND,India,2018,Active mobile-broadband subscriptions (ITU),507190000.0
SAU,Saudi Arabia,2018,Active mobile-broadband subscriptions (ITU),37440539.0
ARE,United Arab Emirates,2019,Active mobile-broadband subscriptions (ITU),23438582.0
EGY,"Egypt, Arab Rep.",2019,Active mobile-broadband subscriptions (ITU),59572831.0
GBR,United Kingdom,2019,Active mobile-broadband subscriptions (ITU),70084000.0
IND,India,2019,Active mobile-broadband subscriptions (ITU),642799000.0
SAU,Saudi Arabia,2019,Active mobile-broadband subscriptions (ITU),40052293.0
ARE,United Arab Emirates,2020,Active mobile-broadband subscriptions (ITU),22178585.0
EGY,"Egypt, Arab Rep.",2020,Active mobile-broadband subscriptions (ITU),66272877.0
GBR,United Kingdom,2020,Active mobile-broadband subscriptions (ITU),73097000.0
IND,India,2020,Active mobile-broadband subscriptions (ITU),725120000.0
SAU,Saudi Arabia,2020,Active mobile-broadband subscriptions (ITU),41379642.0
ARE,United Arab Emirates,2021,Active mobile-broadband subscriptions (ITU),22586425.0
EGY,"Egypt, Arab Rep.",2021,Active mobile-broadband subscriptions (ITU),67300106.59
GBR,United Kingdom,2021,Active mobile-broadband subscriptions (ITU),84775000.0
IND,India,2021,Active mobile-broadband subscriptions (ITU),765991924.0
SAU,Saudi Arabia,2021,Active mobile-broadband subscriptions (ITU),42974656.0
ARE,United Arab Emirates,2022,Active mobile-broadband subscriptions (ITU),22178236.0
EGY,"Egypt, Arab Rep.",2022,Active mobile-broadband subscriptions (ITU),71950824.0
GBR,United Kingdom,2022,Active mobile-broadband subscriptions (ITU),86660000.0
IND,India,2022,Active mobile-broadband subscriptions (ITU),798690000.0
SAU,Saudi Arabia,2022,Active mobile-broadband subscriptions (ITU),45875114.0
ARE,United Arab Emirates,2023,Active mobile-broadband subscriptions (ITU),22529176.0
EGY,"Egypt, Arab Rep.",2023,Active mobile-broadband subscriptions (ITU),79148266.0
GBR,United Kingdom,2023,Active mobile-broadband subscriptions (ITU),89150000.0
IND,India,2023,Active mobile-broadband subscriptions (ITU),865290000.0
SAU,Saudi Arabia,2023,Active mobile-broadband subscriptions (ITU),56298177.0
ARE,United Arab Emirates,2024,Active mobile-broadband subscriptions (ITU),22623250.0
EGY,"Egypt, Arab Rep.",2024,Active mobile-broadband subscriptions (ITU),87424454.0
GBR,United Kingdom,2024,Active mobile-broadband subscriptions (ITU),88888000.0
IND,India,2024,Active mobile-broadband subscriptions (ITU),898569523.0
SAU,Saudi Arabia,2024,Active mobile-broadband subscriptions (ITU),61556426.0
