Country_Code,Country,Year,Indicator,OBS_Value
ARE,United Arab Emirates,2015,Active mobile-broadband subscriptions per 100 inhabitants (ITU),69.082
EGY,"Egypt, Arab Rep.",2015,Active mobile-broadband subscriptions per 100 inhabitants (ITU),39.2493
GBR,United Kingdom,2015,Active mobile-broadband subscriptions per 100 inhabitants (ITU),76.8984
IND,India,2015,Active mobile-broadband subscriptions per 100 inhabitants (ITU),
SAU,Saudi Arabia,2015,Active mobile-broadband subscriptions per 100 inhabitants (ITU),44.0233
ARE,United Arab Emirates,2016,Active mobile-broadband subscriptions per 100 inhabitants (ITU),68.7177
EGY,"Egypt, Arab Rep.",2016,Active mobile-broadband subscriptions per 100 inhabitants (ITU),41.2837
GBR,United Kingdom,2016,Active mobile-broadband subscriptions per 100 inhabitants (ITU),75.5828
IND,India,2016,Active mobile-broadband subscriptions per 100 inhabitants (ITU),
SAU,Saudi Arabia,2016,Active mobile-broadband subscriptions per 100 inhabitants (ITU),41.3795
ARE,United Arab Emirates,2017,Active mobile-broadband subscriptions per 100 inhabitants (ITU),85.0117
EGY,"Egypt, Arab Rep.",2017,Active mobile-broadband subscriptions per 100 inhabitants (ITU),43.9831
GBR,United Kingdom,2017,Active mobile-broadband subscriptions per 100 inhabitants (ITU),80.2161
IND,India,2017,Active mobile-broadband subscriptions per 100 inhabitants (ITU),25.375
SAU,Saudi Arabia,2017,Active mobile-broadband subscriptions per 100 inhabitants (ITU),61.167
ARE,United Arab Emirates,2018,Active mobile-broadband subscriptions per 100 inhabitants (ITU),81.9074
EGY,"Egypt, Arab Rep.",2018,Active mobile-broadband subscriptions per 100 inhabitants (ITU),47.1657
GBR,United Kingdom,2018,Active mobile-broadband subscriptions per 100 inhabitants (ITU),92.3591
IND,India,2018,Active mobile-broadband subscriptions per 100 inhabitants (ITU),36.8957
SAU,Saudi Arabia,2018,Active mobile-broadband subscriptions per 100 inhabitants (ITU),87.8942
ARE,United Arab Emirates,2019,Active mobile-broadband subscriptions per 100 inhabitants (ITU),93.7223
EGY,"Egypt, Arab Rep.",2019,Active mobile-broadband subscriptions per 100 inhabitants (ITU),52.5543
GBR,United Kingdom,2019,Active mobile-broadband subscriptions per 100 inhabitants (ITU),97.7247
IND,India,2019,Active mobile-broadband subscriptions per 100 inhabitants (ITU),46.2768
SAU,Saudi Arabia,2019,Active mobile-broadband subscriptions per 100 inhabitants (ITU),93.6931
ARE,United Arab Emirates,2020,Active mobile-broadband subscriptions per 100 inhabitants (ITU),204.682
EGY,"Egypt, Arab Rep.",2020,Active mobile-broadband subscriptions per 100 inhabitants (ITU),58.1253
GBR,United Kingdom,2020,Active mobile-broadband subscriptions per 100 inhabitants (ITU),101.412
IND,India,2020,Active mobile-broadband subscriptions per 100 inhabitants (ITU),51.6976
SAU,Saudi Arabia,2020,Active mobile-broadband subscriptions per 100 inhabitants (ITU),115.87
ARE,United Arab Emirates,2021,Active mobile-broadband subscriptions per 100 inhabitants (ITU),199.205
EGY,"Egypt, Arab Rep.",2021,Active mobile-broadband subscriptions per 100 inhabitants (ITU),57.9492
GBR,United Kingdom,2021,Active mobile-broadband subscriptions per 100 inhabitants (ITU),117.887
IND,India,2021,Active mobile-broadband subscriptions per 100 inhabitants (ITU),54.0601
SAU,Saudi Arabia,2021,Active mobile-broadband subscriptions per 100 inhabitants (ITU),121.618
ARE,United Arab Emirates,2022,Active mobile-broadband subscriptions per 100 inhabitants (ITU),184.698
EGY,"Egypt, Arab Rep.",2022,Active mobile-broadband subscriptions per 100 inhabitants (ITU),61.6864
GBR,United Kingdom,2022,Active mobile-broadband subscriptions per 100 inhabitants (ITU),119.831
IND,India,2022,Active mobile-broadband subscriptions per 100 inhabitants (ITU),56.0247
SAU,Saudi Arabia,2022,Active mobile-broadband subscriptions per 100 inhabitants (ITU),126.544
ARE,United Arab Emirates,2023,Active mobile-broadband subscriptions per 100 inhabitants (ITU),180.661
EGY,"Egypt, Arab Rep.",2023,Active mobile-broadband subscriptions per 100 inhabitants (ITU),66.9473
GBR,United Kingdom,2023,Active mobile-broadband subscriptions per 100 inhabitants (ITU),122.782
IND,India,2023,Active mobile-broadband subscriptions per 100 inhabitants (ITU),
SAU,Saudi Arabia,2023,Active mobile-broadband subscriptions per 100 inhabitants (ITU),149.746
ARE,United Arab Emirates,2024,Active mobile-broadband subscriptions per 100 inhabitants (ITU),161.852
EGY,"Egypt, Arab Rep.",2024,Active mobile-broadband subscriptions per 100 inhabitants (ITU),72.2815
GBR,United Kingdom,2024,Active mobile-broadband subscriptions per 100 inhabitants (ITU),121.643
IND,India,2024,Active mobile-broadband subscriptions per 100 inhabitants (ITU),
SAU,Saudi Arabia,2024,Active mobile-broadband subscriptions per 100 inhabitants (ITU),162.595
