Country_Code,Country,Year,Indicator,OBS_Value
ARE,United Arab Emirates,2015,Fixed-broadband subscriptions (ITU),14.230538629127
EGY,"Egypt, Arab Rep.",2015,Fixed-broadband subscriptions (ITU),3.84187963570353
GBR,United Kingdom,2015,Fixed-broadband subscriptions (ITU),37.7214944577347
IND,India,2015,Fixed-broadband subscriptions (ITU),1.27578595315943
SAU,Saudi Arabia,2015,Fixed-broadband subscriptions (ITU),21.1361804985218
ARE,United Arab Emirates,2016,Fixed-broadband subscriptions (ITU),14.3683229738697
EGY,"Egypt, Arab Rep.",2016,Fixed-broadband subscriptions (ITU),4.39685382563749
GBR,United Kingdom,2016,Fixed-broadband subscriptions (ITU),38.6588569366885
IND,India,2016,Fixed-broadband subscriptions (ITU),1.38795276378032
SAU,Saudi Arabia,2016,Fixed-broadband subscriptions (ITU),20.82681485606
ARE,United Arab Emirates,2017,Fixed-broadband subscriptions (ITU),29.9082975943997
EGY,"Egypt, Arab Rep.",2017,Fixed-broadband subscriptions (ITU),5.04732016956055
GBR,United Kingdom,2017,Fixed-broadband subscriptions (ITU),39.2489467665261
IND,India,2017,Fixed-broadband subscriptions (ITU),1.31327377028949
SAU,Saudi Arabia,2017,Fixed-broadband subscriptions (ITU),21.6139435772426
ARE,United Arab Emirates,2018,Fixed-broadband subscriptions (ITU),32.3591212887309
EGY,"Egypt, Arab Rep.",2018,Fixed-broadband subscriptions (ITU),6.26825297386708
GBR,United Kingdom,2018,Fixed-broadband subscriptions (ITU),39.8293995840604
IND,India,2018,Fixed-broadband subscriptions (ITU),1.3217822859385
SAU,Saudi Arabia,2018,Fixed-broadband subscriptions (ITU),22.4661479201746
ARE,United Arab Emirates,2019,Fixed-broadband subscriptions (ITU),32.480344369022
EGY,"Egypt, Arab Rep.",2019,Fixed-broadband subscriptions (ITU),7.04130696004296
GBR,United Kingdom,2019,Fixed-broadband subscriptions (ITU),40.022769455921
IND,India,2019,Fixed-broadband subscriptions (ITU),1.37913181839908
SAU,Saudi Arabia,2019,Fixed-broadband subscriptions (ITU),22.3213703520821
ARE,United Arab Emirates,2020,Fixed-broadband subscriptions (ITU),34.345290333178
EGY,"Egypt, Arab Rep.",2020,Fixed-broadband subscriptions (ITU),8.5396308016812
GBR,United Kingdom,2020,Fixed-broadband subscriptions (ITU),40.5775246507294
IND,India,2020,Fixed-broadband subscriptions (ITU),1.63622632751685
SAU,Saudi Arabia,2020,Fixed-broadband subscriptions (ITU),25.4596763527151
ARE,United Arab Emirates,2021,Fixed-broadband subscriptions (ITU),36.5005361093336
EGY,"Egypt, Arab Rep.",2021,Fixed-broadband subscriptions (ITU),9.76582299335252
GBR,United Kingdom,2021,Fixed-broadband subscriptions (ITU),41.1134869970784
IND,India,2021,Fixed-broadband subscriptions (ITU),1.9487996093033
SAU,Saudi Arabia,2021,Fixed-broadband subscriptions (ITU),33.7973610185654
ARE,United Arab Emirates,2022,Fixed-broadband subscriptions (ITU),36.8485872897377
EGY,"Egypt, Arab Rep.",2022,Fixed-broadband subscriptions (ITU),10.6832498285136
GBR,United Kingdom,2022,Fixed-broadband subscriptions (ITU),41.2867157729584
IND,India,2022,Fixed-broadband subscriptions (ITU),2.35231555917724
SAU,Saudi Arabia,2022,Fixed-broadband subscriptions (ITU),41.8230078726101
ARE,United Arab Emirates,2023,Fixed-broadband subscriptions (ITU),37.0968234502256
EGY,"Egypt, Arab Rep.",2023,Fixed-broadband subscriptions (ITU),10.8642477216638
GBR,United Kingdom,2023,Fixed-broadband subscriptions (ITU),41.4367685540411
IND,India,2023,Fixed-broadband subscriptions (ITU),2.74534696441771
SAU,Saudi Arabia,2023,Fixed-broadband subscriptions (ITU),43.5732045642216
ARE,United Arab Emirates,2024,Fixed-broadband subscriptions (ITU),40.840113505519
EGY,"Egypt, Arab Rep.",2024,Fixed-broadband subscriptions (ITU),11.6871225241757
GBR,United Kingdom,2024,Fixed-broadband subscriptions (ITU),42.1648283773461
IND,India,2024,Fixed-broadband subscriptions (ITU),3.15046250037677
SAU,Saudi Arabia,2024,Fixed-broadband subscriptions (ITU),44.0705800179885
