Country_Code,Country,Year,Indicator,OBS_Value
IND,India,2015,"Population, total",1328024498.0
IND,India,2016,"Population, total",1343944296.0
IND,India,2017,"Population, total",1359657400.0
IND,India,2018,"Population, total",1374659064.0
IND,India,2019,"Population, total",1389030312.0
IND,India,2020,"Population, total",1402617695.0
IND,India,2021,"Population, total",1414203896.0
IND,India,2022,"Population, total",1425423212.0
IND,India,2023,"Population, total",1438069596.0
IND,India,2024,"Population, total",1450935791.0
