Country_Code,Country,Year,Indicator,OBS_Value
ARE,United Arab Emirates,2015,Percentage of individuals using the internet (ITU),90.5
EGY,"Egypt, Arab Rep.",2015,Percentage of individuals using the internet (ITU),37.8193834276939
GBR,United Kingdom,2015,Percentage of individuals using the internet (ITU),92.0002998740234
IND,India,2015,Percentage of individuals using the internet (ITU),14.89999962
SAU,Saudi Arabia,2015,Percentage of individuals using the internet (ITU),69.6162358014004
ARE,United Arab Emirates,2016,Percentage of individuals using the internet (ITU),90.6000073180483
EGY,"Egypt, Arab Rep.",2016,Percentage of individuals using the internet (ITU),41.2480670885772
GBR,United Kingdom,2016,Percentage of individuals using the internet (ITU),94.7758006318882
IND,India,2016,Percentage of individuals using the internet (ITU),16.5
SAU,Saudi Arabia,2016,Percentage of individuals using the internet (ITU),74.8792746891625
ARE,United Arab Emirates,2017,Percentage of individuals using the internet (ITU),94.8199225383446
EGY,"Egypt, Arab Rep.",2017,Percentage of individuals using the internet (ITU),44.9502042452857
GBR,United Kingdom,2017,Percentage of individuals using the internet (ITU),90.4245504868553
IND,India,2017,Percentage of individuals using the internet (ITU),18.20000076
SAU,Saudi Arabia,2017,Percentage of individuals using the internet (ITU),94.1755996113911
ARE,United Arab Emirates,2018,Percentage of individuals using the internet (ITU),98.4500017817194
EGY,"Egypt, Arab Rep.",2018,Percentage of individuals using the internet (ITU),46.92433676792
GBR,United Kingdom,2018,Percentage of individuals using the internet (ITU),90.692008988783
IND,India,2018,Percentage of individuals using the internet (ITU),20.0813000379384
SAU,Saudi Arabia,2018,Percentage of individuals using the internet (ITU),93.3100018480347
ARE,United Arab Emirates,2019,Percentage of individuals using the internet (ITU),99.1499979561243
EGY,"Egypt, Arab Rep.",2019,Percentage of individuals using the internet (ITU),57.2828663990195
GBR,United Kingdom,2019,Percentage of individuals using the internet (ITU),92.5166285497138
IND,India,2019,Percentage of individuals using the internet (ITU),29.52350044
SAU,Saudi Arabia,2019,Percentage of individuals using the internet (ITU),95.7247355953812
ARE,United Arab Emirates,2020,Percentage of individuals using the internet (ITU),100.0
EGY,"Egypt, Arab Rep.",2020,Percentage of individuals using the internet (ITU),71.91420096
GBR,United Kingdom,2020,Percentage of individuals using the internet (ITU),94.81820132
IND,India,2020,Percentage of individuals using the internet (ITU),43.40544313
SAU,Saudi Arabia,2020,Percentage of individuals using the internet (ITU),97.8623325
ARE,United Arab Emirates,2021,Percentage of individuals using the internet (ITU),100.0
EGY,"Egypt, Arab Rep.",2021,Percentage of individuals using the internet (ITU),72.05599976
GBR,United Kingdom,2021,Percentage of individuals using the internet (ITU),96.19650269
IND,India,2021,Percentage of individuals using the internet (ITU),49.2580986
SAU,Saudi Arabia,2021,Percentage of individuals using the internet (ITU),100.0
ARE,United Arab Emirates,2022,Percentage of individuals using the internet (ITU),100.0
EGY,"Egypt, Arab Rep.",2022,Percentage of individuals using the internet (ITU),72.19806556
GBR,United Kingdom,2022,Percentage of individuals using the internet (ITU),95.46530151
IND,India,2022,Percentage of individuals using the internet (ITU),55.9
SAU,Saudi Arabia,2022,Percentage of individuals using the internet (ITU),100.0
ARE,United Arab Emirates,2023,Percentage of individuals using the internet (ITU),100.0
EGY,"Egypt, Arab Rep.",2023,Percentage of individuals using the internet (ITU),74.01190186
GBR,United Kingdom,2023,Percentage of individuals using the internet (ITU),95.44719696
IND,India,2023,Percentage of individuals using the internet (ITU),60.25230026
SAU,Saudi Arabia,2023,Percentage of individuals using the internet (ITU),100.0
ARE,United Arab Emirates,2024,Percentage of individuals using the internet (ITU),100.0
EGY,"Egypt, Arab Rep.",2024,Percentage of individuals using the internet (ITU),74.64839935
GBR,United Kingdom,2024,Percentage of individuals using the internet (ITU),95.4720993
IND,India,2024,Percentage of individuals using the internet (ITU),64.9434967
SAU,Saudi Arabia,2024,Percentage of individuals using the internet (ITU),100.0
