Country_Code,Country,Year,Indicator,OBS_Value
ARE,United Arab Emirates,2015,Price of data-only mobile broadband bundle (ITU),0.73
EGY,"Egypt, Arab Rep.",2015,Price of data-only mobile broadband bundle (ITU),1.28
GBR,United Kingdom,2015,Price of data-only mobile broadband bundle (ITU),0.42
IND,India,2015,Price of data-only mobile broadband bundle (ITU),2.98
SAU,Saudi Arabia,2015,Price of data-only mobile broadband bundle (ITU),0.56
ARE,United Arab Emirates,2016,Price of data-only mobile broadband bundle (ITU),0.750618075
EGY,"Egypt, Arab Rep.",2016,Price of data-only mobile broadband bundle (ITU),0.895963684
GBR,United Kingdom,2016,Price of data-only mobile broadband bundle (ITU),0.444695615
IND,India,2016,Price of data-only mobile broadband bundle (ITU),3.229126156
SAU,Saudi Arabia,2016,Price of data-only mobile broadband bundle (ITU),0.597876858
ARE,United Arab Emirates,2017,Price of data-only mobile broadband bundle (ITU),0.826694005094119
EGY,"Egypt, Arab Rep.",2017,Price of data-only mobile broadband bundle (ITU),0.504433165284098
GBR,United Kingdom,2017,Price of data-only mobile broadband bundle (ITU),0.45726021621968
IND,India,2017,Price of data-only mobile broadband bundle (ITU),4.03978172747618
SAU,Saudi Arabia,2017,Price of data-only mobile broadband bundle (ITU),1.25498007968127
ARE,United Arab Emirates,2018,Price of data-only mobile broadband bundle (ITU),0.84
EGY,"Egypt, Arab Rep.",2018,Price of data-only mobile broadband bundle (ITU),1.03
GBR,United Kingdom,2018,Price of data-only mobile broadband bundle (ITU),0.5
IND,India,2018,Price of data-only mobile broadband bundle (ITU),1.29
SAU,Saudi Arabia,2018,Price of data-only mobile broadband bundle (ITU),0.97
ARE,United Arab Emirates,2019,Price of data-only mobile broadband bundle (ITU),0.84
EGY,"Egypt, Arab Rep.",2019,Price of data-only mobile broadband bundle (ITU),1.03
GBR,United Kingdom,2019,Price of data-only mobile broadband bundle (ITU),0.58
IND,India,2019,Price of data-only mobile broadband bundle (ITU),0.85
SAU,Saudi Arabia,2019,Price of data-only mobile broadband bundle (ITU),0.97
ARE,United Arab Emirates,2020,Price of data-only mobile broadband bundle (ITU),0.79
EGY,"Egypt, Arab Rep.",2020,Price of data-only mobile broadband bundle (ITU),1.01
GBR,United Kingdom,2020,Price of data-only mobile broadband bundle (ITU),0.55
IND,India,2020,Price of data-only mobile broadband bundle (ITU),1.62
SAU,Saudi Arabia,2020,Price of data-only mobile broadband bundle (ITU),0.72
ARE,United Arab Emirates,2021,Price of data-only mobile broadband bundle (ITU),0.633680234
EGY,"Egypt, Arab Rep.",2021,Price of data-only mobile broadband bundle (ITU),1.089050975
GBR,United Kingdom,2021,Price of data-only mobile broadband bundle (ITU),0.387551791
IND,India,2021,Price of data-only mobile broadband bundle (ITU),1.101053854
SAU,Saudi Arabia,2021,Price of data-only mobile broadband bundle (ITU),0.89521885
ARE,United Arab Emirates,2022,Price of data-only mobile broadband bundle (ITU),0.75742126
EGY,"Egypt, Arab Rep.",2022,Price of data-only mobile broadband bundle (ITU),1.018758567
GBR,United Kingdom,2022,Price of data-only mobile broadband bundle (ITU),0.350511676
IND,India,2022,Price of data-only mobile broadband bundle (ITU),1.113501997
SAU,Saudi Arabia,2022,Price of data-only mobile broadband bundle (ITU),0.893166759
ARE,United Arab Emirates,2023,Price of data-only mobile broadband bundle (ITU),0.42
EGY,"Egypt, Arab Rep.",2023,Price of data-only mobile broadband bundle (ITU),0.88
GBR,United Kingdom,2023,Price of data-only mobile broadband bundle (ITU),0.32
IND,India,2023,Price of data-only mobile broadband bundle (ITU),0.99
SAU,Saudi Arabia,2023,Price of data-only mobile broadband bundle (ITU),0.6
ARE,United Arab Emirates,2024,Price of data-only mobile broadband bundle (ITU),0.36
EGY,"Egypt, Arab Rep.",2024,Price of data-only mobile broadband bundle (ITU),0.7
GBR,United Kingdom,2024,Price of data-only mobile broadband bundle (ITU),0.31
IND,India,2024,Price of data-only mobile broadband bundle (ITU),0.92
SAU,Saudi Arabia,2024,Price of data-only mobile broadband bundle (ITU),0.76
