Country_Code,Country,Years,Indicator,OBS_Value
ARE,United Arab Emirates,2015,Price of a fixed broadband basket 5GB (ITU),1.09162
EGY,"Egypt, Arab Rep.",2015,Price of a fixed broadband basket 5GB (ITU),2.55773
GBR,United Kingdom,2015,Price of a fixed broadband basket 5GB (ITU),0.422135
IND,India,2015,Price of a fixed broadband basket 5GB (ITU),5.11223
SAU,Saudi Arabia,2015,Price of a fixed broadband basket 5GB (ITU),1.89848
ARE,United Arab Emirates,2016,Price of a fixed broadband basket 5GB (ITU),0.52
EGY,"Egypt, Arab Rep.",2016,Price of a fixed broadband basket 5GB (ITU),1.79
GBR,United Kingdom,2016,Price of a fixed broadband basket 5GB (ITU),0.22
IND,India,2016,Price of a fixed broadband basket 5GB (ITU),4.84
SAU,Saudi Arabia,2016,Price of a fixed broadband basket 5GB (ITU),1.09
ARE,United Arab Emirates,2017,Price of a fixed broadband basket 5GB (ITU),0.576181
EGY,"Egypt, Arab Rep.",2017,Price of a fixed broadband basket 5GB (ITU),1.2779
GBR,United Kingdom,2017,Price of a fixed broadband basket 5GB (ITU),1.02884
IND,India,2017,Price of a fixed broadband basket 5GB (ITU),4.48021
SAU,Saudi Arabia,2017,Price of a fixed broadband basket 5GB (ITU),1.2749
ARE,United Arab Emirates,2018,Price of a fixed broadband basket 5GB (ITU),0.58
EGY,"Egypt, Arab Rep.",2018,Price of a fixed broadband basket 5GB (ITU),3.02
GBR,United Kingdom,2018,Price of a fixed broadband basket 5GB (ITU),1.28
IND,India,2018,Price of a fixed broadband basket 5GB (ITU),2.55
SAU,Saudi Arabia,2018,Price of a fixed broadband basket 5GB (ITU),1.25
ARE,United Arab Emirates,2019,Price of a fixed broadband basket 5GB (ITU),0.58
EGY,"Egypt, Arab Rep.",2019,Price of a fixed broadband basket 5GB (ITU),3.02
GBR,United Kingdom,2019,Price of a fixed broadband basket 5GB (ITU),1.28
IND,India,2019,Price of a fixed broadband basket 5GB (ITU),3.06
SAU,Saudi Arabia,2019,Price of a fixed broadband basket 5GB (ITU),1.25
ARE,United Arab Emirates,2020,Price of a fixed broadband basket 5GB (ITU),0.55
EGY,"Egypt, Arab Rep.",2020,Price of a fixed broadband basket 5GB (ITU),3.22
GBR,United Kingdom,2020,Price of a fixed broadband basket 5GB (ITU),1.99
IND,India,2020,Price of a fixed broadband basket 5GB (ITU),3.17
SAU,Saudi Arabia,2020,Price of a fixed broadband basket 5GB (ITU),2.88
ARE,United Arab Emirates,2021,Price of a fixed broadband basket 5GB (ITU),0.546549
EGY,"Egypt, Arab Rep.",2021,Price of a fixed broadband basket 5GB (ITU),2.984
GBR,United Kingdom,2021,Price of a fixed broadband basket 5GB (ITU),1.27892
IND,India,2021,Price of a fixed broadband basket 5GB (ITU),3.32365
SAU,Saudi Arabia,2021,Price of a fixed broadband basket 5GB (ITU),3.58088
ARE,United Arab Emirates,2022,Price of a fixed broadband basket 5GB (ITU),0.653276
EGY,"Egypt, Arab Rep.",2022,Price of a fixed broadband basket 5GB (ITU),2.78861
GBR,United Kingdom,2022,Price of a fixed broadband basket 5GB (ITU),1.15669
IND,India,2022,Price of a fixed broadband basket 5GB (ITU),2.7974
SAU,Saudi Arabia,2022,Price of a fixed broadband basket 5GB (ITU),4.46583
ARE,United Arab Emirates,2023,Price of a fixed broadband basket 5GB (ITU),0.44
EGY,"Egypt, Arab Rep.",2023,Price of a fixed broadband basket 5GB (ITU),2.4
GBR,United Kingdom,2023,Price of a fixed broadband basket 5GB (ITU),1.06
IND,India,2023,Price of a fixed broadband basket 5GB (ITU),3.0
SAU,Saudi Arabia,2023,Price of a fixed broadband basket 5GB (ITU),2.99
ARE,United Arab Emirates,2024,Price of a fixed broadband basket 5GB (ITU),0.45
EGY,"Egypt, Arab Rep.",2024,Price of a fixed broadband basket 5GB (ITU),2.54
GBR,United Kingdom,2024,Price of a fixed broadband basket 5GB (ITU),1.08
IND,India,2024,Price of a fixed broadband basket 5GB (ITU),2.79
SAU,Saudi Arabia,2024,Price of a fixed broadband basket 5GB (ITU),0.33
