Country_Code,Country,Year,Indicator,OBS_value
ARE,United Arab Emirates,2019,Average Download Speed - Fixed Technologies,72.63637976
EGY,"Egypt, Arab Rep.",2019,Average Download Speed - Fixed Technologies,10.09873983
GBR,United Kingdom,2019,Average Download Speed - Fixed Technologies,57.2466651
IND,India,2019,Average Download Speed - Fixed Technologies,29.61525588
SAU,Saudi Arabia,2019,Average Download Speed - Fixed Technologies,39.79561973
ARE,United Arab Emirates,2020,Average Download Speed - Fixed Technologies,118.725077
EGY,"Egypt, Arab Rep.",2020,Average Download Speed - Fixed Technologies,18.48641822
GBR,United Kingdom,2020,Average Download Speed - Fixed Technologies,67.13558293
IND,India,2020,Average Download Speed - Fixed Technologies,47.51205281
SAU,Saudi Arabia,2020,Average Download Speed - Fixed Technologies,71.38704266
ARE,United Arab Emirates,2021,Average Download Speed - Fixed Technologies,185.3981335
EGY,"Egypt, Arab Rep.",2021,Average Download Speed - Fixed Technologies,22.16350663
GBR,United Kingdom,2021,Average Download Speed - Fixed Technologies,94.20257169
IND,India,2021,Average Download Speed - Fixed Technologies,70.94559856
SAU,Saudi Arabia,2021,Average Download Speed - Fixed Technologies,93.81869715
ARE,United Arab Emirates,2022,Average Download Speed - Fixed Technologies,201.6261077
EGY,"Egypt, Arab Rep.",2022,Average Download Speed - Fixed Technologies,20.98634803
GBR,United Kingdom,2022,Average Download Speed - Fixed Technologies,120.8941973
IND,India,2022,Average Download Speed - Fixed Technologies,70.33504309
SAU,Saudi Arabia,2022,Average Download Speed - Fixed Technologies,102.2484268
ARE,United Arab Emirates,2023,Average Download Speed - Fixed Technologies,234.6595582
EGY,"Egypt, Arab Rep.",2023,Average Download Speed - Fixed Technologies,24.8787771
GBR,United Kingdom,2023,Average Download Speed - Fixed Technologies,159.8203211
IND,India,2023,Average Download Speed - Fixed Technologies,82.77128363
SAU,Saudi Arabia,2023,Average Download Speed - Fixed Technologies,131.8261711
ARE,United Arab Emirates,2024,Average Download Speed - Fixed Technologies,284.8234595
EGY,"Egypt, Arab Rep.",2024,Average Download Speed - Fixed Technologies,30.77323996
GBR,United Kingdom,2024,Average Download Speed - Fixed Technologies,200.7401444
IND,India,2024,Average Download Speed - Fixed Technologies,93.53878218
SAU,Saudi Arabia,2024,Average Download Speed - Fixed Technologies,161.7697902
