Country_Code,Country,Year,Indicator,OBS_Value
ARE,United Arab Emirates,2019,Average Download Speed - Mobile Technologies,66.65790172
EGY,"Egypt, Arab Rep.",2019,Average Download Speed - Mobile Technologies,16.63502993
GBR,United Kingdom,2019,Average Download Speed - Mobile Technologies,36.00949538
IND,India,2019,Average Download Speed - Mobile Technologies,11.05275609
SAU,Saudi Arabia,2019,Average Download Speed - Mobile Technologies,43.90528134
ARE,United Arab Emirates,2020,Average Download Speed - Mobile Technologies,162.9776113
EGY,"Egypt, Arab Rep.",2020,Average Download Speed - Mobile Technologies,17.70023483
GBR,United Kingdom,2020,Average Download Speed - Mobile Technologies,48.28115695
IND,India,2020,Average Download Speed - Mobile Technologies,12.02470605
SAU,Saudi Arabia,2020,Average Download Speed - Mobile Technologies,122.5070482
ARE,United Arab Emirates,2021,Average Download Speed - Mobile Technologies,341.3316882
EGY,"Egypt, Arab Rep.",2021,Average Download Speed - Mobile Technologies,21.09893555
GBR,United Kingdom,2021,Average Download Speed - Mobile Technologies,77.57912978
IND,India,2021,Average Download Speed - Mobile Technologies,15.99115239
SAU,Saudi Arabia,2021,Average Download Speed - Mobile Technologies,150.7200818
ARE,United Arab Emirates,2022,Average Download Speed - Mobile Technologies,261.0072625
EGY,"Egypt, Arab Rep.",2022,Average Download Speed - Mobile Technologies,25.26261424
GBR,United Kingdom,2022,Average Download Speed - Mobile Technologies,96.85148534
IND,India,2022,Average Download Speed - Mobile Technologies,36.51545998
SAU,Saudi Arabia,2022,Average Download Speed - Mobile Technologies,158.5776485
ARE,United Arab Emirates,2023,Average Download Speed - Mobile Technologies,343.7420542
EGY,"Egypt, Arab Rep.",2023,Average Download Speed - Mobile Technologies,27.63684319
GBR,United Kingdom,2023,Average Download Speed - Mobile Technologies,95.13003691
IND,India,2023,Average Download Speed - Mobile Technologies,176.7733888
SAU,Saudi Arabia,2023,Average Download Speed - Mobile Technologies,127.8821934
ARE,United Arab Emirates,2024,Average Download Speed - Mobile Technologies,428.896204
EGY,"Egypt, Arab Rep.",2024,Average Download Speed - Mobile Technologies,31.60161218
GBR,United Kingdom,2024,Average Download Speed - Mobile Technologies,114.1404611
IND,India,2024,Average Download Speed - Mobile Technologies,168.9776385
SAU,Saudi Arabia,2024,Average Download Speed - Mobile Technologies,112.8843796
